"dowlknum","date","pw_basin_name","Lat_DD","Lon_DD","elev.ft.NGVD29","elev.ft.NAVD88"
82001500,"1976-05-25","Loon",45.1129133559011,-92.8379121851889,905.32,905.45779528
82001500,"1996-04-30","Loon",45.1129133559011,-92.8379121851889,905.12,905.25779528
82001500,"1996-05-02","Loon",45.1129133559011,-92.8379121851889,905.16,905.29779528
82001500,"1996-05-07","Loon",45.1129133559011,-92.8379121851889,905.17,905.30779528
82001500,"1996-05-15","Loon",45.1129133559011,-92.8379121851889,905.16,905.29779528
82001500,"1996-05-20","Loon",45.1129133559011,-92.8379121851889,905.56,905.69779528
82001500,"1996-05-27","Loon",45.1129133559011,-92.8379121851889,905.34,905.47779528
82001500,"1996-05-30","Loon",45.1129133559011,-92.8379121851889,905.26,905.39779528
82001500,"1996-06-01","Loon",45.1129133559011,-92.8379121851889,905.23,905.36779528
82001500,"1996-06-13","Loon",45.1129133559011,-92.8379121851889,905.16,905.29779528
82001500,"1996-06-18","Loon",45.1129133559011,-92.8379121851889,905.3,905.43779528
82001500,"1996-06-25","Loon",45.1129133559011,-92.8379121851889,905.32,905.45779528
82001500,"1996-06-27","Loon",45.1129133559011,-92.8379121851889,905.24,905.37779528
82001500,"1996-07-05","Loon",45.1129133559011,-92.8379121851889,905.12,905.25779528
82001500,"1996-07-16","Loon",45.1129133559011,-92.8379121851889,904.99,905.12779528
82001500,"1996-07-24","Loon",45.1129133559011,-92.8379121851889,905.02,905.15779528
82001500,"1996-07-31","Loon",45.1129133559011,-92.8379121851889,904.98,905.11779528
82001500,"1996-08-07","Loon",45.1129133559011,-92.8379121851889,904.96,905.09779528
82001500,"1996-08-19","Loon",45.1129133559011,-92.8379121851889,904.8,904.93779528
82001500,"1996-08-20","Loon",45.1129133559011,-92.8379121851889,904.8,904.93779528
82001500,"1996-08-29","Loon",45.1129133559011,-92.8379121851889,904.7,904.83779528
82001500,"1996-09-08","Loon",45.1129133559011,-92.8379121851889,904.69,904.82779528
82001500,"1996-09-16","Loon",45.1129133559011,-92.8379121851889,904.56,904.69779528
82001500,"1996-09-19","Loon",45.1129133559011,-92.8379121851889,904.55,904.68779528
82001500,"1996-10-03","Loon",45.1129133559011,-92.8379121851889,904.53,904.66779528
82001500,"1996-10-11","Loon",45.1129133559011,-92.8379121851889,904.46,904.59779528
82001500,"1996-10-14","Loon",45.1129133559011,-92.8379121851889,904.46,904.59779528
82001500,"1996-10-30","Loon",45.1129133559011,-92.8379121851889,904.59,904.72779528
82001500,"1996-12-20","Loon",45.1129133559011,-92.8379121851889,904.62,904.75779528
82001500,"1997-01-07","Loon",45.1129133559011,-92.8379121851889,904.26,904.39779528
82001500,"1997-01-30","Loon",45.1129133559011,-92.8379121851889,904.41,904.54779528
82001500,"1997-02-20","Loon",45.1129133559011,-92.8379121851889,904.29,904.42779528
82001500,"1997-04-08","Loon",45.1129133559011,-92.8379121851889,904.64,904.77779528
82001500,"1997-04-11","Loon",45.1129133559011,-92.8379121851889,904.64,904.77779528
82001500,"1997-04-21","Loon",45.1129133559011,-92.8379121851889,904.4,904.53779528
82001500,"1997-04-29","Loon",45.1129133559011,-92.8379121851889,903.99,904.12779528
82001500,"1997-05-07","Loon",45.1129133559011,-92.8379121851889,903.84,903.97779528
82001500,"1997-05-19","Loon",45.1129133559011,-92.8379121851889,903.8,903.93779528
82001500,"1997-05-28","Loon",45.1129133559011,-92.8379121851889,903.74,903.87779528
82001500,"1997-05-29","Loon",45.1129133559011,-92.8379121851889,903.72,903.85779528
82001500,"1997-06-02","Loon",45.1129133559011,-92.8379121851889,903.7,903.83779528
82001500,"1997-06-10","Loon",45.1129133559011,-92.8379121851889,903.65,903.78779528
82001500,"1997-06-20","Loon",45.1129133559011,-92.8379121851889,903.54,903.67779528
82001500,"1997-06-26","Loon",45.1129133559011,-92.8379121851889,903.55,903.68779528
82001500,"1997-07-02","Loon",45.1129133559011,-92.8379121851889,903.74,903.87779528
82001500,"1997-07-09","Loon",45.1129133559011,-92.8379121851889,904,904.13779528
82001500,"1997-07-18","Loon",45.1129133559011,-92.8379121851889,903.99,904.12779528
82001500,"1997-07-24","Loon",45.1129133559011,-92.8379121851889,904.06,904.19779528
82001500,"1997-08-04","Loon",45.1129133559011,-92.8379121851889,903.92,904.05779528
82001500,"1997-08-06","Loon",45.1129133559011,-92.8379121851889,903.94,904.07779528
82001500,"1997-08-07","Loon",45.1129133559011,-92.8379121851889,903.87,904.00779528
82001500,"1997-08-23","Loon",45.1129133559011,-92.8379121851889,903.94,904.07779528
82001500,"1997-09-02","Loon",45.1129133559011,-92.8379121851889,903.94,904.07779528
82001500,"1997-09-12","Loon",45.1129133559011,-92.8379121851889,903.94,904.07779528
82001500,"1997-09-23","Loon",45.1129133559011,-92.8379121851889,903.84,903.97779528
82001500,"1997-09-25","Loon",45.1129133559011,-92.8379121851889,903.81,903.94779528
82001500,"1997-10-06","Loon",45.1129133559011,-92.8379121851889,903.78,903.91779528
82001500,"1997-10-10","Loon",45.1129133559011,-92.8379121851889,903.84,903.97779528
82001500,"1997-10-24","Loon",45.1129133559011,-92.8379121851889,903.82,903.95779528
82001500,"1997-11-06","Loon",45.1129133559011,-92.8379121851889,903.8,903.93779528
82001500,"1998-04-13","Loon",45.1129133559011,-92.8379121851889,904.4,904.53779528
82001500,"1998-04-30","Loon",45.1129133559011,-92.8379121851889,904.16,904.29779528
82001500,"1998-05-20","Loon",45.1129133559011,-92.8379121851889,904.08,904.21779528
82001500,"1998-06-04","Loon",45.1129133559011,-92.8379121851889,904,904.13779528
82001500,"1998-06-17","Loon",45.1129133559011,-92.8379121851889,903.94,904.07779528
82001500,"1998-06-25","Loon",45.1129133559011,-92.8379121851889,904.14,904.27779528
82001500,"1998-06-29","Loon",45.1129133559011,-92.8379121851889,904.22,904.35779528
82001500,"1998-07-05","Loon",45.1129133559011,-92.8379121851889,904.16,904.29779528
82001500,"1998-07-27","Loon",45.1129133559011,-92.8379121851889,903.94,904.07779528
82001500,"1998-08-03","Loon",45.1129133559011,-92.8379121851889,903.86,903.99779528
82001500,"1998-08-12","Loon",45.1129133559011,-92.8379121851889,903.82,903.95779528
82001500,"1998-08-20","Loon",45.1129133559011,-92.8379121851889,903.92,904.05779528
82001500,"1998-09-03","Loon",45.1129133559011,-92.8379121851889,903.84,903.97779528
82001500,"1998-09-22","Loon",45.1129133559011,-92.8379121851889,903.65,903.78779528
82001500,"1998-10-06","Loon",45.1129133559011,-92.8379121851889,903.64,903.77779528
82001500,"1998-10-23","Loon",45.1129133559011,-92.8379121851889,903.7,903.83779528
